url,countries,visitors
https://r.kraken.com/z37qM,IN,2.0%
https://r.kraken.com/z37qM,BG,2.5%
https://r.kraken.com/z37qM,TR,1.1%
https://r.kraken.com/z37qM,IL,0.8%
https://r.kraken.com/z37qM,US,20.7%
https://r.kraken.com/z37qM,HK,0.8%
https://r.kraken.com/z37qM,IE,4.0%
https://r.kraken.com/z37qM,IR,0.5%
https://r.kraken.com/z37qM,BE,5.0%
https://r.kraken.com/z37qM,CH,4.3%
https://r.kraken.com/z37qM,GB,2.7%
https://r.kraken.com/z37qM,FR,7.3%
https://r.kraken.com/z37qM,BR,4.3%
https://r.kraken.com/z37qM,GR,4.1%
https://r.kraken.com/z37qM,ZA,1.9%
https://r.kraken.com/z37qM,DK,2.1%
https://r.kraken.com/z37qM,NL,1.5%
https://r.kraken.com/z37qM,CA,8.2%
https://r.kraken.com/z37qM,O,18.9%
https://r.kraken.com/z37qM,DE,7.4%
